,Values(Km^2),date
231,4948.75,2010-08-24
232,6692.75,2010-08-25
233,6785.0,2010-08-26
234,6217.5,2010-08-27
235,4758.25,2010-08-28
236,6420.25,2010-08-29
237,6706.75,2010-08-30
238,6778.5,2010-08-31
239,6189.5,2010-09-01
240,6785.0,2010-09-02
241,6785.0,2010-09-03
242,6783.25,2010-09-04
243,6785.0,2010-09-05
244,6729.25,2010-09-06
245,6780.0,2010-09-07
246,6785.0,2010-09-08
247,6785.0,2010-09-09
248,6785.0,2010-09-10
249,6785.0,2010-09-11
250,6784.75,2010-09-12
251,6783.5,2010-09-13
252,6785.0,2010-09-14
253,6784.75,2010-09-15
254,6785.0,2010-09-16
255,6785.0,2010-09-17
256,6785.0,2010-09-18
257,2067.25,2010-09-19
258,5136.0,2010-09-20
259,6770.25,2010-09-21
260,6784.5,2010-09-22
261,6785.0,2010-09-23
262,6784.75,2010-09-24
263,6785.0,2010-09-25
264,6733.5,2010-09-26
265,6609.5,2010-09-27
266,6785.0,2010-09-28
267,5335.5,2010-09-29
268,6682.0,2010-09-30
269,6754.0,2010-10-01
270,6781.0,2010-10-02
271,6694.25,2010-10-03
272,6785.0,2010-10-04
273,6755.0,2010-10-05
274,3984.5,2010-10-06
275,6785.0,2010-10-07
276,6487.0,2010-10-08
277,5078.5,2010-10-09
278,6773.5,2010-10-10
279,6414.5,2010-10-11
280,2814.75,2010-10-12
281,6435.5,2010-10-13
282,4939.75,2010-10-14
283,6784.0,2010-10-15
284,6782.25,2010-10-16
285,6785.0,2010-10-17
286,6785.0,2010-10-18
287,6785.0,2010-10-19
288,6785.0,2010-10-20
289,6785.0,2010-10-21
290,6785.0,2010-10-22
291,6785.0,2010-10-23
292,6785.0,2010-10-24
293,5060.25,2010-10-25
294,309.75,2010-10-26
295,4661.0,2010-10-27
296,6751.5,2010-10-28
297,143.75,2010-10-29
298,2139.25,2010-10-30
299,1588.0,2010-10-31
300,1491.0,2010-11-01
301,438.5,2010-11-02
302,2730.25,2010-11-03
303,6359.5,2010-11-04
304,6706.0,2010-11-05
305,6779.25,2010-11-06
306,6739.25,2010-11-07
307,6748.0,2010-11-08
308,6729.75,2010-11-09
309,6672.25,2010-11-10
310,6781.75,2010-11-11
311,6772.25,2010-11-12
312,6782.0,2010-11-13
313,6762.75,2010-11-14
314,6782.0,2010-11-15
315,6780.75,2010-11-16
316,6783.5,2010-11-17
317,6777.5,2010-11-18
318,6773.25,2010-11-19
319,6773.0,2010-11-20
320,6630.0,2010-11-21
321,6782.75,2010-11-22
322,6184.5,2010-11-23
323,6780.25,2010-11-24
324,6760.5,2010-11-25
325,6615.0,2010-11-26
326,6781.0,2010-11-27
327,6712.5,2010-11-28
328,6779.75,2010-11-29
329,6162.0,2010-11-30
330,6770.25,2010-12-01
331,6782.25,2010-12-02
332,6782.0,2010-12-03
333,6781.25,2010-12-04
